,Sem  Violation,Infl/Agr Violation,Extra/Mising Expr,Correct,Syntax,All
0,0.16057009135777772,0.16210588696190362,0.16453202400469366,0.16479256653182617,0.14773492913019687,0.15507787852361735
1,0.2154047422208426,0.22567532942814714,0.21073517631848412,0.22705533785336496,0.22085416243524983,0.22586705081613032
2,0.224785362103087,0.24250738833932026,0.2198989104088387,0.24108226202387542,0.22023190295717507,0.2379412895821146
3,0.26837146025003955,0.26873651394598475,0.30464490476613154,0.31192464957028876,0.30125032827689996,0.311521971175496
4,0.27843620448517564,0.27235779646276365,0.26706580796351437,0.30164440631152883,0.2922426410554932,0.30236655386731925
5,0.25711026427218797,0.24960254408130875,0.2612479214839529,0.27453536635420334,0.28503296993299004,0.27770037629422306
6,0.3237809262516444,0.27097123890346503,0.2717049878322381,0.29965776877214556,0.29414699740433103,0.30315836460862955
7,0.29471706500045725,0.28677798572779384,0.2893350297438086,0.30244187867505273,0.2957986919998719,0.30778492335794766
8,0.35017773029405413,0.32957874592414305,0.3465473696871298,0.3530460226743915,0.3489760261104446,0.3587165656233124
9,0.5074749785283358,0.46588496066833157,0.4778656242868,0.4898558890688016,0.486391504226153,0.49339637035069533
10,0.5493743557670133,0.5053790674625348,0.5361257055505962,0.5319779621300019,0.5387520119367516,0.5484449563157123
11,0.5775099760647379,0.5139983394607937,0.5041908705334794,0.4860160664018561,0.5305160823024828,0.5173220390507949
