,Syntax,Semantics,Morphology,0,Hallucination,All
0,0.009939382784068584,0.0048669143579900265,0.006050576455891132,0.01099082175642252,0.006640196,0.003381896
1,0.0013022853527218103,0.0020776339806616306,0.0010532678570598364,0.0012274227337911725,0.0014139627,0.0012068971
2,0.006678656209260225,0.006723371334373951,0.004603161476552486,0.0034535995218902826,0.0039380253,0.0032233184
3,0.01804501563310623,0.010294000618159771,0.0069432747550308704,0.010012111626565456,0.008973953,0.007153989
4,0.01813148893415928,0.010404927656054497,0.009636243805289268,0.010826724581420422,0.008987162,0.005743413
5,0.06188706308603287,0.04967673867940903,0.014395879581570625,0.06094818934798241,0.036672626,0.037314367
6,0.01050253864377737,0.005229036323726177,0.005308630410581827,0.00467971246689558,0.0063504307,0.011764388
7,0.013318355195224285,0.012227068655192852,0.012778021395206451,0.0058996113948524,0.012881133,0.011737867
8,0.010434377007186413,0.01953328587114811,0.023103082552552223,0.013148101978003979,0.012208649,0.024344642
9,0.0011345386765526655,0.002909046101893052,0.00437079974047568,0.0024987724669203585,0.001165346150302908,0.002428484573586805
10,0.014363663271069527,0.02821836993098259,0.021261580288410187,0.009062246419489384,0.01733724,0.015332897
11,0.015575592406094074,0.015569002367556095,0.011673114262521267,0.007245490327477455,0.007930767,0.01021458
12,0.04103321582078934,0.04593069106340408,0.030128223821520805,0.021336667239665985,0.042787075,0.03357545
13,0.030402224510908127,0.02027386799454689,0.030262410640716553,0.016634007915854454,0.021127265,0.02388152
14,0.07167302817106247,0.041023291647434235,0.07599686086177826,0.03850502893328667,0.03266046,0.100535646
15,0.07065947353839874,0.04228835180401802,0.036309532821178436,0.05695178359746933,0.05144012,0.14717558
16,0.04873667284846306,0.032498735934495926,0.011216800659894943,0.0184653177857399,0.069852956,0.146985852
17,0.04595905542373657,0.028995247557759285,0.01699596643447876,0.055521976202726364,0.10226204,0.1502398
18,0.032126471400260925,0.037803810089826584,0.034350886940956116,0.03956350311636925,0.13054043,0.169978
19,0.02314934879541397,0.01973615400493145,0.019990213215351105,0.03128150850534439,0.17343822,0.191478
20,0.03999723494052887,0.023805756121873856,0.022521188482642174,0.017400886863470078,0.15930871,0.22146593
21,0.10727737843990326,0.1406020075082779,0.07226493954658508,0.029377799481153488,0.16840822,0.233091841
22,0.09144261479377747,0.09518565237522125,0.1286269873380661,0.023608535528182983,0.17778167,0.31746164
23,0.047484390437603,0.05829029902815819,0.0804264023900032,0.026686662808060646,0.15208934,0.24728944
